| Area                               | Current Status                     | Recommended Final Action                                                                                                                                                                                                                                                                                             |
| ---------------------------------- | ---------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Architecture**                   | Stable Vite + Supabase + Capacitor | 1️⃣ Add a clear `.env.template` with required keys.<br>2️⃣ Enable Supabase Row-Level-Security (RLS) by user role.<br>3️⃣ Enforce HTTPS/CSP headers for Vercel builds.                                                                                                                                                |
| **AI System (“Ximi”)**             | Two models present                 | ✅ Consolidate to **one AI module**:<br>• Base on GPT-4-Turbo or local fine-tuned model.<br>• Restrict to topics: wellbeing check-ins, navigation, program matching.<br>• Add hard keyword filters (crisis, self-harm).<br>• Include disclaimer banner before each chat: “Not a clinician; for general support only.” |
| **Admin Dashboard**                | Placeholder metrics                | Add: aggregate mood trends, daily active youth, check-ins, and anonymized program attendance. Use Supabase `views` + Chart.js.<br>Restrict to `admin_role=true` with RLS policy.                                                                                                                                     |
| **Privacy Compliance (PIPA/FOIP)** | Good structure                     | • Add explicit consent modals (two-stage).<br>• Store consent logs (Supabase table: `consent_logs`).<br>• Implement 30-day auto-purge for stale requests (`pg_cron`).<br>• Add Privacy Policy + Terms pages linked in footer.<br>• Ensure Supabase region = `ca-central-1`.                                          |
| **Guardian Flow**                  | Functional but manual              | Automate guardian email invite and link verification.<br>Allow guardian consent record tied to youth ID.                                                                                                                                                                                                             |
| **Mood Orb & Journal**             | Works                              | Add optional daily reminder via `Notification API` + user toggle.<br>Encrypt journal entries client-side using Web Crypto before upload.                                                                                                                                                                             |
| **Program Discovery**              | Working                            | Add live filter for “Happening Now”.<br>Integrate map (Leaflet / Google Maps API key).                                                                                                                                                                                                                               |
| **QR Attendance / XIDs**           | Basic                              | Validate unique hashed IDs (sha256 + salt).<br>Store attendance events separate from user table for anonymity.                                                                                                                                                                                                       |
| **Accessibility**                  | Partial                            | Add `aria-labels`, TTS toggle, and screen-reader verification (axe-core).                                                                                                                                                                                                                                            |
| **Security & Legal**               | Mostly handled                     | • Add rate-limiting middleware.<br>• Generate PIA summary.<br>• Obtain cyber-liability coverage certificate.<br>• Add “mandatory-reporting” clause in Terms.                                                                                                                                                         |
